frame_etg frame_gar X Y event_type code
0 0 469.92 125.58 Fixation 409895186
1 1 469.15 126.93 Fixation 409911873
1 1 469.32 126.42 Fixation 409928648
2 2 468.72 127.31 Fixation 409945115
2 2 470.77 123.61 Fixation 409961783
3 3 470.33 121.54 Fixation 409978265
3 3 470.94 121.69 Fixation 409994850
4 3 473.14 118.37 Fixation 410011534
4 3 474.95 117.54 Fixation 410028062
4 3 476.11 116.89 Fixation 410044805
5 4 477.08 115.86 Fixation 410061450
6 5 479.34 116.31 Fixation 410077939
6 5 480.05 116.05 Fixation 410094357
7 6 478.98 115.59 Fixation 410110989
7 6 478.05 116.81 Fixation 410127772
8 7 478.12 117.25 Fixation 410144646
8 7 478.08 118.68 Fixation 410160863
9 8 475.88 121.06 Fixation 410177613
9 8 475.98 122.68 Fixation 410194023
10 8 476.87 121.36 Saccade 410210587
10 8 461.51 127.76 Saccade 410227163
10 8 390.98 130.00 Saccade 410243811
11 9 366.46 124.71 Saccade 410260408
12 10 367.41 119.87 Fixation 410276972
12 10 369.41 110.90 Fixation 410293554
13 11 371.43 103.31 Fixation 410310166
13 11 374.06 93.54 Fixation 410327259
14 12 375.92 86.92 Fixation 410343645
14 12 379.22 81.81 Fixation 410359881
14 12 379.12 74.64 Fixation 410376652
15 13 381.07 71.95 Fixation 410393049
16 13 384.06 70.56 Fixation 410409775
16 13 385.78 69.09 Fixation 410426499
16 13 385.59 68.06 Saccade 410443124
17 14 369.64 77.47 Saccade 410459628
18 15 350.16 88.24 Saccade 410476279
18 15 350.59 92.04 Fixation 410492766
19 16 353.90 96.11 Fixation 410509485
19 16 354.83 97.70 Fixation 410526058
20 17 355.99 102.49 Fixation 410542793
20 17 360.02 104.74 Fixation 410559256
21 18 360.11 105.38 Fixation 410575797
21 18 362.05 108.99 Fixation 410592285
22 18 362.56 110.19 Fixation 410608824
22 18 362.94 112.83 Fixation 410625642
22 18 363.27 113.36 Saccade 410642332
23 19 363.82 117.46 Saccade 410658752
24 20 369.35 132.34 Saccade 410675296
24 20 418.98 144.91 Saccade 410692028
25 21 517.81 125.50 Saccade 410708493
25 21 549.31 131.34 Saccade 410725202
26 22 537.58 104.74 Fixation 410741836
26 22 508.41 132.31 Fixation 410758327
26 22 502.65 132.49 Fixation 410774869
27 23 500.72 128.17 Fixation 410791459
28 23 497.88 126.70 Fixation 410808399
28 23 493.66 127.00 Fixation 410824670
28 23 491.03 128.77 Fixation 410841526
29 24 487.70 123.93 Fixation 410857865
29 24 484.79 123.46 Fixation 410874474
29 24 482.04 119.63 Fixation 410891043
31 26 478.96 123.85 Fixation 410907625
31 26 476.75 120.42 Fixation 410924259
32 27 475.59 117.83 Fixation 410941070
32 27 477.85 100.40 Fixation 410957420
33 28 469.69 132.01 Fixation 410974037
33 28 467.01 132.14 Fixation 410990564
34 28 469.72 120.17 Fixation 411007173
34 28 468.49 126.10 Fixation 411023817
34 28 468.14 126.24 Fixation 411041907
35 29 470.90 117.06 Fixation 411056960
36 30 475.74 114.42 Fixation 411073668
36 30 477.01 107.53 Fixation 411090163
37 31 478.53 92.11 Fixation 411106685
37 31 481.96 87.68 Fixation 411124369
38 32 482.97 82.53 Fixation 411140271
38 32 484.22 81.23 Fixation 411156636
39 33 484.92 81.31 Fixation 411173353
39 33 487.80 80.61 Fixation 411189773
40 33 489.43 77.26 Fixation 411206434
40 33 471.18 92.13 Fixation 411222990
40 33 489.63 72.47 Fixation 411239832
41 34 489.27 71.51 Fixation 411256250
42 35 489.72 73.27 Fixation 411272773
42 35 488.93 72.46 Fixation 411289181
43 36 470.89 88.39 Saccade 411305934
43 36 540.67 110.09 Saccade 411323037
43 36 543.08 113.99 Saccade 411339400
44 37 542.77 114.42 Fixation 411355603
44 37 543.23 114.74 Fixation 411372273
45 38 541.72 115.20 Fixation 411388874
46 38 540.56 117.76 Fixation 411405543
46 38 540.62 120.09 Fixation 411422101
46 38 539.66 122.51 Fixation 411438743
47 39 541.15 127.22 Fixation 411455371
47 39 542.11 129.88 Fixation 411471907
48 40 544.62 130.96 Fixation 411488532
49 41 546.12 133.02 Fixation 411504995
49 41 549.42 133.56 Fixation 411522875
49 41 550.94 137.84 Fixation 411538449
50 42 553.80 138.35 Fixation 411555045
51 43 555.21 138.96 Fixation 411571671
51 43 557.10 138.14 Fixation 411587941
52 43 558.88 136.40 Fixation 411604698
52 43 558.79 136.72 Saccade 411621364
52 43 599.95 134.43 Saccade 411638190
53 44 673.79 131.40 Saccade 411654543
53 44 730.17 128.59 Saccade 411671129
54 45 732.56 119.82 Saccade 411687644
55 46 728.29 115.74 Fixation 411704145
55 46 723.17 105.45 Fixation 411720960
55 46 720.49 102.48 Fixation 411737663
