frame_etg frame_gar X Y event_type code
0 0 429.03 211.69 Saccade 2017433180
0 0 437.54 211.72 Saccade 2017449907
1 1 436.29 211.71 Fixation 2017466388
1 1 436.05 211.38 Fixation 2017483236
2 2 435.19 209.89 Fixation 2017499451
2 2 433.35 206.22 Fixation 2017516004
3 3 432.77 202.88 Fixation 2017533213
3 3 431.74 198.74 Fixation 2017549286
4 3 429.71 200.78 Fixation 2017565840
4 3 430.10 196.12 Fixation 2017582470
5 4 429.98 197.42 Fixation 2017599128
5 4 429.80 196.34 Fixation 2017615633
6 5 429.71 197.80 Fixation 2017632220
6 5 431.05 197.74 Fixation 2017648877
7 6 429.87 198.11 Fixation 2017665502
8 7 431.45 199.42 Fixation 2017682063
8 7 429.72 201.41 Fixation 2017698609
8 7 503.32 144.36 Fixation 2017715126
9 8 503.23 146.58 Fixation 2017732402
9 8 431.26 205.52 Fixation 2017748499
9 8 500.40 148.50 Fixation 2017765167
10 8 429.95 211.68 Fixation 2017781649
11 9 430.36 212.97 Fixation 2017798130
12 10 428.38 215.35 Fixation 2017814827
12 10 428.37 214.92 Fixation 2017831486
12 10 428.30 215.90 Fixation 2017848084
13 11 428.71 217.02 Fixation 2017864671
13 11 427.63 218.13 Fixation 2017881237
14 12 427.56 218.94 Fixation 2017897758
14 12 427.26 223.15 Fixation 2017914337
15 13 428.28 223.99 Fixation 2017931085
15 13 428.29 224.28 Fixation 2017947595
16 13 427.15 227.93 Fixation 2017964246
16 13 426.08 228.50 Fixation 2017980747
17 14 426.83 228.12 Fixation 2017997370
17 14 423.92 229.08 Fixation 2018014014
18 15 423.97 229.51 Fixation 2018030594
18 15 422.97 228.62 Fixation 2018047070
19 16 420.79 225.98 Fixation 2018063758
19 16 418.85 224.27 Blink 2018080366
20 17 418.48 221.57 Blink 2018096874
20 17 417.39 217.86 Blink 2018113358
21 18 414.50 216.69 Blink 2018130430
21 18 413.53 216.06 Blink 2018146719
22 18 410.76 216.17 Blink 2018163425
22 18 417.99 216.10 Blink 2018179890
23 19 NaN NaN Blink 2018196448
23 19 193.64 541.61 Blink 2018213057
24 20 NaN NaN Blink 2018229925
24 20 NaN NaN Blink 2018246245
24 20 NaN NaN Blink 2018262905
25 21 NaN NaN Blink 2018279514
26 22 -143367.14 -624113.95 Blink 2018296145
26 22 -1677.59 -6842.39 Blink 2018312930
27 23 -737.70 -4320.03 Blink 2018329234
27 23 -1034.28 -5276.29 Blink 2018345855
28 23 -1146.79 -5598.38 Blink 2018362458
28 23 253.66 -429.13 Blink 2018379126
29 24 439.46 205.84 Blink 2018395640
29 24 437.31 207.78 Blink 2018412191
30 25 431.87 193.24 Fixation 2018428846
30 25 435.53 212.03 Fixation 2018445502
31 26 435.00 215.18 Fixation 2018461929
31 26 434.46 215.68 Fixation 2018478645
32 27 433.39 219.33 Fixation 2018495131
32 27 432.90 221.25 Fixation 2018511819
33 28 434.10 220.76 Fixation 2018528497
33 28 434.33 221.76 Fixation 2018545002
34 28 434.39 221.98 Fixation 2018561630
34 28 433.48 223.15 Fixation 2018578316
35 29 434.88 222.77 Fixation 2018594866
35 29 435.20 220.18 Fixation 2018611308
36 30 434.64 219.79 Fixation 2018628107
36 30 433.78 216.88 Fixation 2018644626
37 31 433.52 212.95 Fixation 2018661325
37 31 434.03 211.97 Fixation 2018677752
38 32 433.70 210.11 Fixation 2018694232
38 32 432.79 209.98 Fixation 2018710886
39 33 433.66 208.60 Fixation 2018727600
39 33 433.27 212.34 Saccade 2018744255
39 33 413.05 214.93 Saccade 2018760811
40 33 385.12 215.12 Saccade 2018777370
41 34 390.51 219.62 Fixation 2018793961
41 34 390.60 222.39 Fixation 2018810685
42 35 390.88 224.06 Fixation 2018827086
42 35 392.49 225.46 Fixation 2018843757
43 36 392.33 225.20 Fixation 2018860257
43 36 394.55 228.08 Fixation 2018876841
44 37 393.46 228.01 Fixation 2018893380
44 37 395.16 227.18 Fixation 2018909989
45 38 395.06 226.94 Fixation 2018926683
45 38 395.61 228.01 Fixation 2018943187
46 38 395.37 227.23 Fixation 2018959753
46 38 394.46 227.95 Fixation 2018976335
47 39 393.91 227.01 Saccade 2018992993
47 39 413.12 223.95 Saccade 2019009610
48 40 430.56 216.85 Saccade 2019026283
48 40 429.31 212.19 Saccade 2019042771
49 41 431.53 226.24 Saccade 2019059389
49 41 431.85 226.78 Fixation 2019075975
50 42 431.49 227.61 Fixation 2019092618
50 42 431.76 228.48 Fixation 2019109114
51 43 431.94 226.97 Fixation 2019125759
51 43 431.88 227.50 Fixation 2019142382
52 43 431.01 228.70 Fixation 2019159037
52 43 429.37 230.09 Fixation 2019175480
53 44 428.89 232.26 Fixation 2019192142
53 44 427.49 234.37 Saccade 2019208745
54 45 423.79 235.41 Saccade 2019225389
54 45 393.31 245.15 Saccade 2019241882
54 45 384.76 244.47 Saccade 2019258863
55 46 384.06 245.43 Fixation 2019275223
56 47 383.82 245.46 Fixation 2019291745
56 47 382.87 248.29 Fixation 2019308385
57 48 382.23 253.21 Fixation 2019324985
57 48 383.61 258.40 Fixation 2019341704
58 48 384.11 262.38 Fixation 2019358459
58 48 384.54 264.63 Fixation 2019374822
59 49 385.67 266.37 Fixation 2019391364
59 49 386.09 267.05 Fixation 2019408020
60 50 386.39 267.87 Fixation 2019424628
60 50 387.71 266.35 Fixation 2019441317
61 51 387.50 265.17 Fixation 2019457936
61 51 386.86 263.69 Fixation 2019474408
62 52 388.04 261.92 Fixation 2019490961
62 52 385.38 259.81 Fixation 2019507644
