frame_etg frame_gar X Y event_type code
0 0 510.19 261.10 Blink 2359595205
0 0 510.32 260.89 Blink 2359611763
1 1 488.86 253.04 Blink 2359628377
1 1 443.04 254.68 Blink 2359645060
2 2 392.97 226.40 Blink 2359661547
2 2 NaN NaN Blink 2359678147
3 3 NaN NaN Blink 2359694798
3 3 NaN NaN Blink 2359711390
4 3 NaN NaN Blink 2359728070
4 3 NaN NaN Blink 2359744569
4 3 NaN NaN Blink 2359761180
5 4 NaN NaN Blink 2359777824
6 5 NaN NaN Blink 2359794448
6 5 NaN NaN Blink 2359811072
7 6 NaN NaN Blink 2359827586
7 6 NaN NaN Blink 2359844139
8 7 NaN NaN Blink 2359860819
8 7 NaN NaN Blink 2359877403
9 8 NaN NaN Blink 2359893963
9 8 NaN NaN Blink 2359910566
10 8 NaN NaN Blink 2359927178
10 8 NaN NaN Blink 2359943638
11 9 NaN NaN Blink 2359960330
11 9 NaN NaN Blink 2359976892
12 10 NaN NaN Blink 2359993555
12 10 NaN NaN Blink 2360010139
13 11 NaN NaN Blink 2360026762
13 11 481.27 250.57 Blink 2360043354
14 12 495.99 277.45 Blink 2360060029
14 12 527.27 272.87 Blink 2360076502
15 13 526.60 275.78 Blink 2360093264
15 13 527.04 280.64 Fixation 2360109707
16 13 528.45 283.20 Fixation 2360126270
16 13 532.04 289.12 Fixation 2360142974
17 14 536.20 285.07 Fixation 2360159552
17 14 535.89 276.06 Fixation 2360176203
18 15 535.85 274.27 Fixation 2360192675
18 15 536.88 272.23 Fixation 2360209308
19 16 539.28 271.93 Fixation 2360225967
19 16 536.39 269.93 Fixation 2360242427
20 17 539.10 271.43 Fixation 2360259086
20 17 540.20 267.05 Fixation 2360275659
21 18 537.00 271.43 Fixation 2360292211
21 18 534.87 265.74 Fixation 2360308737
22 18 539.22 268.47 Fixation 2360325558
22 18 538.49 265.48 Fixation 2360342060
23 19 537.84 264.17 Fixation 2360358676
23 19 538.83 259.90 Fixation 2360375188
24 20 539.11 261.70 Fixation 2360391712
24 20 538.02 261.13 Fixation 2360408481
25 21 539.92 258.08 Fixation 2360424998
25 21 541.69 257.04 Fixation 2360441677
26 22 540.48 250.36 Fixation 2360458197
26 22 542.56 249.70 Fixation 2360474824
27 23 540.27 245.79 Fixation 2360491380
27 23 544.56 242.95 Saccade 2360508132
28 23 547.30 250.26 Saccade 2360524663
28 23 588.43 265.32 Saccade 2360541168
29 24 598.05 256.79 Saccade 2360557812
29 24 600.80 259.25 Fixation 2360574444
30 25 601.02 262.37 Fixation 2360591020
30 25 599.65 260.00 Fixation 2360607547
31 26 603.61 262.26 Fixation 2360624127
31 26 605.66 266.96 Fixation 2360640810
32 27 607.96 267.93 Fixation 2360657408
32 27 606.54 267.23 Fixation 2360673930
33 28 598.67 256.01 Fixation 2360690461
33 28 605.54 265.56 Fixation 2360707129
34 28 605.24 263.90 Fixation 2360723716
34 28 604.63 266.24 Fixation 2360740329
34 28 613.58 275.82 Fixation 2360756930
35 29 607.40 263.39 Fixation 2360773549
36 30 604.76 261.44 Fixation 2360790093
36 30 606.16 265.13 Fixation 2360806755
37 31 611.02 270.00 Fixation 2360823277
37 31 601.79 253.85 Fixation 2360840001
38 32 600.32 252.78 Fixation 2360856447
38 32 616.71 264.37 Fixation 2360873053
39 33 624.19 274.19 Fixation 2360889585
39 33 627.80 203.46 Fixation 2360906261
40 33 610.06 248.84 Fixation 2360922924
40 33 634.49 190.89 Fixation 2360939508
41 34 603.79 236.73 Fixation 2360956122
41 34 615.08 241.72 Fixation 2360972675
42 35 634.96 179.70 Fixation 2360989209
42 35 646.75 160.81 Saccade 2361005893
42 35 613.08 171.47 Saccade 2361022447
43 36 534.76 216.56 Saccade 2361039054
44 37 533.01 224.81 Saccade 2361055639
44 37 529.19 221.81 Fixation 2361072294
45 38 530.63 219.10 Fixation 2361088834
45 38 532.22 220.33 Fixation 2361105380
46 38 535.51 225.75 Fixation 2361122026
46 38 526.90 221.22 Fixation 2361138608
47 39 531.49 223.70 Fixation 2361155314
47 39 540.51 232.52 Fixation 2361171807
47 39 525.47 220.47 Fixation 2361188332
47 39 541.78 240.52 Saccade 2361205020
47 39 534.47 231.17 Saccade 2361221705
48 40 525.24 228.65 Saccade 2361238219
49 41 526.16 229.95 Fixation 2361254806
