frame_etg frame_gar X Y event_type code
0 0 467.79 303.63 Fixation 549905587
0 0 467.55 303.89 Fixation 549922333
1 1 466.63 304.62 Fixation 549939073
2 2 465.88 305.71 Fixation 549955596
2 2 465.69 306.61 Fixation 549971979
2 2 465.52 306.99 Fixation 549988583
3 3 465.87 306.95 Fixation 550005166
3 3 466.18 307.87 Fixation 550021931
4 3 467.60 307.59 Fixation 550038423
4 3 468.75 307.08 Fixation 550054975
5 4 471.17 306.02 Fixation 550071668
6 5 473.47 304.61 Fixation 550088204
6 5 475.22 303.83 Fixation 550104803
6 5 476.36 301.69 Fixation 550121351
7 6 477.89 301.26 Fixation 550137939
8 7 478.36 301.17 Fixation 550154879
8 7 479.31 299.85 Fixation 550171188
8 7 480.26 300.10 Fixation 550187677
9 8 480.75 299.41 Fixation 550204434
9 8 481.08 299.25 Fixation 550221091
10 8 480.87 299.63 Fixation 550237718
10 8 480.52 299.53 Fixation 550254144
11 9 480.45 299.76 Fixation 550270864
12 10 478.51 301.29 Fixation 550288001
12 10 478.82 302.62 Fixation 550303999
12 10 477.97 304.94 Fixation 550320508
13 11 477.83 308.85 Fixation 550337171
14 12 473.75 308.37 Fixation 550353826
14 12 470.75 307.15 Fixation 550370498
14 12 471.78 306.36 Fixation 550387023
15 13 471.69 306.56 Fixation 550403482
16 13 471.40 308.21 Fixation 550420166
16 13 471.27 308.71 Fixation 550436848
16 13 470.65 309.31 Fixation 550453481
17 14 470.04 309.40 Fixation 550469922
18 15 469.26 310.39 Fixation 550486557
18 15 468.33 314.46 Fixation 550503208
18 15 468.73 319.03 Fixation 550519694
19 16 468.85 321.15 Fixation 550536269
19 16 468.47 323.08 Fixation 550552931
20 17 466.91 324.64 Fixation 550569546
20 17 465.54 326.26 Fixation 550586079
21 18 463.81 325.96 Fixation 550602767
21 18 459.99 323.76 Fixation 550619309
22 18 458.78 323.30 Fixation 550635941
22 18 456.08 323.33 Saccade 550652597
23 19 456.83 326.90 Saccade 550669096
23 19 468.00 336.72 Saccade 550685582
24 20 483.39 355.37 Saccade 550702115
25 21 489.19 361.99 Saccade 550718932
25 21 493.37 365.48 Fixation 550735544
25 21 499.08 366.49 Fixation 550752043
26 22 502.66 364.77 Fixation 550768681
26 22 506.92 362.65 Fixation 550785133
27 23 508.02 360.49 Fixation 550801845
27 23 511.46 357.93 Fixation 550818289
28 23 511.55 355.80 Fixation 550835061
28 23 511.25 352.94 Fixation 550853242
29 24 510.83 353.89 Saccade 550868328
29 24 499.86 373.38 Saccade 550884823
30 25 488.08 409.93 Saccade 550901434
31 26 486.87 416.87 Saccade 550918060
31 26 486.27 420.77 Fixation 550934800
31 26 485.48 424.42 Fixation 550951211
31 26 486.30 427.47 Fixation 550967798
31 26 487.46 431.05 Fixation 550984337
32 27 487.00 433.82 Fixation 551000885
32 27 486.67 436.21 Fixation 551017688
33 28 488.25 438.55 Fixation 551034114
33 28 487.74 440.10 Fixation 551050632
34 28 487.19 443.16 Fixation 551067237
34 28 486.32 447.88 Fixation 551083977
35 29 485.48 452.44 Fixation 551100450
35 29 484.41 459.73 Fixation 551117054
36 30 484.00 465.01 Fixation 551133719
36 30 483.98 471.41 Fixation 551150267
37 31 483.67 481.07 Fixation 551166970
37 31 483.89 486.83 Saccade 551183449
38 32 487.26 480.43 Saccade 551200060
38 32 499.20 422.49 Saccade 551216687
39 33 504.94 389.86 Saccade 551233454
40 33 506.80 381.11 Saccade 551249932
40 33 507.20 379.53 Fixation 551266544
40 33 506.85 378.94 Fixation 551283135
41 34 508.84 377.27 Fixation 551299727
41 34 507.77 375.65 Fixation 551316253
42 35 508.01 374.04 Fixation 551332975
42 35 507.99 372.34 Fixation 551349593
43 36 510.03 370.89 Fixation 551366202
43 36 510.29 369.76 Fixation 551382580
44 37 511.85 369.49 Fixation 551399205
44 37 512.85 369.02 Fixation 551415930
45 38 513.82 369.95 Saccade 551432419
45 38 512.36 365.44 Saccade 551449040
46 38 508.63 353.59 Saccade 551467546
47 39 507.98 351.67 Fixation 551482183
47 39 507.63 349.62 Fixation 551498831
47 39 509.76 346.43 Fixation 551515503
47 39 509.37 346.95 Fixation 551531995
48 40 509.69 346.96 Fixation 551548708
49 41 511.24 346.61 Fixation 551565248
49 41 511.84 345.88 Fixation 551581879
50 42 512.17 345.58 Fixation 551598347
50 42 513.21 345.46 Fixation 551615022
51 43 514.11 345.82 Fixation 551631699
51 43 514.66 345.65 Fixation 551648259
52 43 515.94 346.74 Fixation 551664921
52 43 517.03 346.88 Fixation 551681454
53 44 517.35 348.01 Fixation 551697895
53 44 518.80 348.15 Fixation 551714565
54 45 520.27 346.77 Fixation 551731180
54 45 521.51 345.84 Fixation 551747810
55 46 521.50 346.51 Fixation 551764428
55 46 521.11 347.78 Fixation 551781055
56 47 521.04 348.70 Fixation 551797539
56 47 519.38 349.34 Fixation 551814040
57 48 516.19 350.30 Fixation 551830753
57 48 511.37 349.60 Fixation 551847375
58 48 509.68 350.06 Fixation 551864004
58 48 505.78 349.78 Fixation 551880554
59 49 504.80 351.09 Fixation 551897020
