frame_etg frame_gar X Y event_type code
0 0 546.27 439.68 Fixation 259898955
0 0 545.81 440.73 Fixation 259915354
0 0 545.61 441.82 Fixation 259932001
1 1 544.72 442.10 Fixation 259948765
2 2 544.60 444.11 Fixation 259965154
2 2 544.18 443.82 Fixation 259981717
2 2 544.07 443.76 Fixation 259998293
3 3 544.29 444.09 Fixation 260014991
4 3 543.29 443.46 Fixation 260031492
4 3 543.67 442.82 Fixation 260048186
5 4 544.21 443.26 Fixation 260064738
5 4 544.00 443.28 Fixation 260081400
6 5 544.32 444.54 Fixation 260098045
6 5 542.61 444.76 Fixation 260114488
7 6 542.23 444.49 Fixation 260131145
7 6 541.16 445.43 Fixation 260147772
8 7 539.78 444.70 Fixation 260164363
8 7 541.96 445.70 Saccade 260180934
8 7 570.52 444.33 Saccade 260197594
9 8 576.78 445.37 Saccade 260214171
10 8 576.43 446.17 Fixation 260230694
10 8 576.90 446.69 Fixation 260247356
11 9 577.60 448.28 Fixation 260263854
11 9 577.83 449.45 Fixation 260280466
12 10 577.98 449.74 Fixation 260297089
12 10 579.37 450.46 Fixation 260313696
13 11 578.54 451.90 Fixation 260330371
13 11 578.96 452.55 Fixation 260346894
14 12 579.84 452.79 Fixation 260363515
14 12 580.06 454.48 Fixation 260380077
14 12 581.10 453.64 Fixation 260396736
15 13 581.96 454.59 Fixation 260413248
15 13 580.93 455.74 Fixation 260429790
16 13 582.16 457.39 Fixation 260446506
17 14 581.86 458.29 Fixation 260463333
17 14 581.60 459.47 Fixation 260479628
18 15 582.12 459.83 Fixation 260496223
18 15 582.07 458.78 Fixation 260512829
19 16 583.94 458.33 Fixation 260529396
19 16 583.41 458.17 Fixation 260545897
20 17 583.34 456.19 Fixation 260562597
20 17 583.43 456.84 Fixation 260579295
20 17 583.75 456.06 Fixation 260595887
21 18 584.22 456.43 Fixation 260612445
22 18 582.74 456.01 Fixation 260628893
22 18 581.56 456.35 Fixation 260645604
23 19 581.44 457.27 Fixation 260662221
23 19 581.64 459.85 Fixation 260678936
24 20 582.38 460.76 Fixation 260695418
24 20 581.61 461.93 Fixation 260711972
25 21 581.15 461.68 Fixation 260728607
25 21 581.08 461.45 Fixation 260745194
26 22 581.33 463.21 Fixation 260761987
26 22 580.11 463.06 Fixation 260778335
26 22 579.82 462.29 Fixation 260795255
27 23 581.88 463.92 Saccade 260811555
28 23 609.51 467.34 Saccade 260828075
28 23 623.20 473.03 Saccade 260844677
28 23 623.23 473.26 Fixation 260861376
29 24 622.09 474.43 Fixation 260878105
30 25 620.25 475.13 Fixation 260894598
30 25 619.42 472.98 Fixation 260911183
30 25 616.97 471.96 Fixation 260927652
31 26 615.11 470.75 Fixation 260944390
31 26 613.03 469.87 Fixation 260961101
32 27 612.37 468.99 Fixation 260977483
32 27 609.47 468.41 Fixation 260994174
33 28 607.62 468.40 Fixation 261010729
34 28 607.81 468.59 Fixation 261027392
34 28 605.86 470.10 Fixation 261044014
35 29 603.56 469.38 Fixation 261060475
35 29 603.97 469.83 Fixation 261077199
36 30 603.87 470.82 Fixation 261093680
36 30 602.71 470.87 Fixation 261110308
37 31 602.48 471.63 Fixation 261126777
37 31 600.93 469.49 Fixation 261143471
38 32 601.20 470.07 Fixation 261160109
38 32 600.23 470.57 Fixation 261176633
38 32 600.09 471.32 Fixation 261193140
39 33 600.45 471.72 Saccade 261209754
40 33 602.24 470.68 Saccade 261226438
40 33 629.57 471.99 Saccade 261243150
41 34 640.00 470.46 Saccade 261259602
41 34 637.84 469.69 Fixation 261276212
42 35 636.55 469.95 Fixation 261292833
42 35 635.33 468.42 Fixation 261309390
43 36 634.48 466.77 Fixation 261325953
43 36 633.56 465.43 Fixation 261342649
44 37 631.98 464.51 Fixation 261359279
44 37 632.73 463.47 Fixation 261381215
45 38 632.72 463.75 Fixation 261408993
45 38 634.12 461.33 Fixation 261425565
46 38 635.09 460.06 Fixation 261442179
47 39 635.00 457.61 Fixation 261458820
47 39 632.85 455.54 Fixation 261475451
48 40 631.17 453.43 Fixation 261491920
48 40 630.27 452.19 Fixation 261508522
49 41 626.87 449.65 Fixation 261525138
49 41 624.51 448.45 Fixation 261541685
49 41 620.92 447.73 Fixation 261558467
50 42 615.87 447.11 Fixation 261575147
50 42 614.22 446.77 Fixation 261591570
51 43 614.88 446.49 Fixation 261608043
51 43 614.08 446.43 Fixation 261624703
52 43 613.40 446.32 Fixation 261641354
53 44 612.85 444.36 Fixation 261657990
53 44 612.67 444.86 Fixation 261674600
54 45 612.87 444.60 Fixation 261691614
54 45 612.65 444.97 Fixation 261707714
55 46 610.19 445.20 Fixation 261724453
55 46 607.80 444.73 Fixation 261741056
55 46 605.60 444.95 Fixation 261757571
56 47 602.88 445.42 Fixation 261774202
56 47 596.90 444.08 Fixation 261790775
57 48 595.12 446.39 Fixation 261807331
57 48 590.54 444.93 Fixation 261823784
58 48 589.74 444.43 Saccade 261840463
58 48 601.42 439.91 Saccade 261857002
59 49 610.45 434.88 Saccade 261873718
60 50 608.09 432.33 Fixation 261890449
60 50 604.64 430.41 Fixation 261906927
60 50 603.24 429.67 Fixation 261923522
61 51 603.05 430.12 Fixation 261940084
62 52 599.99 426.21 Fixation 261956739
62 52 597.25 426.66 Fixation 261973232
62 52 595.93 424.66 Fixation 261989926
63 53 596.00 424.46 Fixation 262006490
64 53 594.45 424.44 Fixation 262023024
64 53 593.04 424.57 Fixation 262039647
64 53 591.36 424.02 Fixation 262056299
65 54 589.12 423.32 Fixation 262072903
66 55 587.52 423.09 Fixation 262089494
66 55 585.68 422.48 Fixation 262105893
67 56 582.91 422.74 Fixation 262122501
67 56 582.28 422.21 Fixation 262139239
68 57 579.38 421.82 Fixation 262155766
68 57 578.77 422.10 Fixation 262172435
68 57 575.98 420.93 Fixation 262189005
69 57 573.97 419.17 Fixation 262205526
70 58 571.94 419.41 Fixation 262222235
70 58 568.47 419.07 Fixation 262238927
70 58 566.69 419.56 Fixation 262255400
71 59 565.03 421.94 Fixation 262272044
72 60 561.80 422.72 Fixation 262288671
72 60 559.84 423.05 Fixation 262305222
72 60 557.66 424.25 Fixation 262321643
73 61 555.28 424.85 Fixation 262338472
74 62 551.95 426.15 Fixation 262355002
74 62 549.18 427.91 Fixation 262371643
74 62 546.30 428.66 Fixation 262388065
75 63 545.13 427.99 Blink 262404706
75 63 541.37 428.25 Blink 262421354
76 63 538.46 432.31 Blink 262437895
76 63 536.29 452.93 Blink 262454687
77 64 529.64 342.61 Blink 262471252
78 65 879.16 1148.73 Blink 262488339
78 65 565.78 334.25 Blink 262504231
